OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_ADDRESS_TWO,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_ADMIN_NAME,FAC_OPER_CURRYR,BEG_DATE,END_DATE,PARENT_NAME,PARENT_ADDRESS_ONE,PARENT_ADDRESS_TWO,PARENT_CITY,PARENT_STATE,PARENT_ZIPCODE,REPORT_PREP_NAME,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,REPORT_STATUS,MCAL_PROVIDER_NO,MCARE_PROVIDER_NO,ACLAIMS_NO,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,LONGITUDE,LATITUDE,License_Category,Clin_FQHC_or_Like,Clin_95210_Rural,ComSvc_Adult_Day_Care,ComSvc_Child_Care,ComSvc_Education,ComSvc_Nutrition,ComSvc_Disaster_Relief,ComSvc_Environ_Health,ComSvc_Homeless,ComSvc_Legal,ComSvc_Outreach,ComSvc_Social_Svcs,ComSvc_Subst_Abuse,ComSvc_Transport,ComSvc_Voc_Training,ComSvc_Othr,Arabic_Lang_Stf,Arabic_Lang_Pt,Armenian_Lang_Stf,Armenian_Lang_Pt,Cambodian_Lang_Stf,Cambodian_Lang_Pt,Chinese_Lang_Stf,Chinese_Lang_Pt,Hindustani_Lang_Stf,Hindustani_Lang_Pt,Hmong_Lang_Stf,Hmong_Lang_Pt,Japanese_Lang_Stf,Japanese_Lang_Pt,Korean_Lang_Stf,Korean_Lang_Pt,Laotian_Lang_Stf,Laotian_Lang_Pt,Portugese_Lang_Stf,Portugese_Lang_Pt,Punjabi_Lang_Stf,Punjabi_Lang_Pt,Russian_Lang_Stf,Russian_Lang_Pt,Sign_Lang_Stf,Sign_Lang_Pt,Spanish_Lang_Stf,Spanish_Lang_Pt,Tagalog_Lang_Stf,Tagalog_Lang_Pt,Vietnamese_Lang_Stf,Vietnamese_Lang_Pt,Eng_Not_Prim_Pt_Percent,Lang_If_Eng_Not_Prim,Physn_Salary_FTE,Physn_Contract_FTE,Physn_Volunteer_FTE,Physn_TOTL_FTE,Physn_Enctr_FTE,Physn_Asst_Salary_FTE,Physn_Asst_Contract_FTE,Physn_Asst_Volunteer_FTE,Physn_Asst_TOTL_FTE,Physn_Asst_Enctr_FTE,Nur_Fam_Pract_Salary_FTE,Nur_Fam_Pract_Contract_FTE,Nur_Fam_Pract_Volunteer_FTE,Nur_Fam_Pract_TOTL_FTE,Nur_Fam_Pract_Enctr_FTE,Midwiv_Salary_FTE,Midwiv_Contract_FTE,Midwiv_Volunteer_FTE,Midwiv_TOTL_FTE,Midwiv_Enctr_FTE,Nur_Visit_Salary_FTE,Nur_Visit_Contract_FTE,Nur_Visit_Volunteer_FTE,Nur_Visit_TOTL_FTE,Nur_Visit_Enctr_FTE,Dentist_Salary_FTE,Dentist_Contract_FTE,Dentist_Volunteer_FTE,Dentist_TOTL_FTE,Dentist_Enctr_FTE,Dent_Hyg_Salary_FTE,Dent_Hyg_Contract_FTE,Dent_Hyg_Volunteer_FTE,Dent_Hyg_TOTL_FTE,Dent_Hyg_Enctr_FTE,PsyD_Salary_FTE,PsyD_Contract_FTE,PsyD_Volunteer_FTE,PsyD_TOTL_FTE,PsyD_Enctr_FTE,Psych_Clin_Salary_FTE,Psych_Clin_Contract_FTE,Psych_Clin_Volunteer_FTE,Psych_Clin_TOTL_FTE,Psych_Clin_Enctr_FTE,LCSW_Salary_FTE,LCSW_Contract_FTE,LCSW_Volunteer_FTE,LCSW_TOTL_FTE,LCSW_Enctr_FTE,Othr_MediCal_Provdr_Salary_FTE,Othr_MediCal_Provdr_Contract_FTE,Othr_MediCal_Provdr_Volunteer_FTE,Othr_MediCal_Provdr_TOTL_FTE,Othr_MediCal_Provdr_Enctr_FTE,Othr_CPSP_Providr_Salary_FTE,Othr_CPSP_Provdr_Contract_FTE,Othr_CPSP_Provdr_Volunteer_FTE,Othr_CPSP_Provdr_TOTL_FTE,Othr_CPSP_Provdr_Enctr_FTE,FTE_Salary_TOTL,FTE_Contract_TOTL,FTE_Volunteer_TOTL,FTE_GRAND_TOTL,Enctr_GRAND_TOTL,RDH_Salary_FTE,RDH_Contract_FTE,RDH_Volunteer_FTE,RDH_TOTL_FTE,RDH_Contact_FTE,Dent_Asst_Salary_FTE,Dent_Asst_Contract_FTE,Dent_Asst_Volunteer_FTE,Dent_Asst_TOTL_FTE,Dent_Asst_Contact_FTE,Dent_Asst_No_Lic_Salary_FTE,Dent_Asst_No_Lic_Contract_FTE,Dent_Asst_No_Lic_Volunteer_FTE,Dent_Asst_No_Lic_TOTL_FTE,Dent_Asst_No_Lic_Contact_FTE,Therapist_Marr_Fam(MFT)_Salary_FTE,Therapist_Marr_Fam(MFT)_Contract_FTE,Therapist_Marr_Fam(MFT)_Volunteer_FTE,Therapist_Marr_Fam(MFT)_TOTL_FTE,Therapist_Marr_Fam(MFT)_Contact_FTE,Nur_Regist_Salary_FTE,Nur_Regist_Contract_FTE,Nur_Regist_Volunteer_FTE,Nur_Regist_TOTL_FTE,Nur_Regist_Contact_FTE,LVN_Salary_FTE,LVN_Contract_FTE,LVN_Volunteer_FTE,LVN_TOTL_FTE,LVN_Contact_FTE,Med_Asst_No_Lic_Salary_FTE,Med_Asst_No_Lic_Contract_FTE,Med_Asst_No_Lic_Volunteer_FTE,Med_Asst_No_Lic_TOTL_FTE,Med_Asst_No_Lic_Contact_FTE,Pt_Educ_NonLic_Salary_FTE,Pt_Educ_NonLic_Contract_FTE,Pt_Educ_NonLic_Volunteer_FTE,Pt_Educ_NonLic_TOTL_FTE,Pt_Educ_NonLic_Contact_FTE,Subs_Abuse_Salary_FTE,Subs_Abuse_Contract_FTE,Subs_Abuse_Volunteer_FTE,Subs_Abuse_TOTL_FTE,Subs_Abuse_Contact_FTE,Billing_staff_Salary_FTE,Billing_staff_Contract_FTE,Billing_staff_Volunteer_FTE,Billing_staff_TOTL_FTE,Billing_staff_Contact_FTE,Other_Admin_Staff_Salary_FTE,Other_Admin_Staff_Contract_FTE,Other_Admin_Staff_Volunteer_FTE,Other_Admin_Staff_TOTL_FTE,Other_Admin_Staff_Contact_FTE,Othr_Provdr_Not_Enctr_Salary_FTE,Othr_Provdr_Not_Enctr_Contract_FTE,Othr_Provdr_Not_Enctr_Volunteer_FTE,Othr_Provdr_Not_Enctr_TOTL_FTE,Othr_Provdr_Not_Enctr_Contact_FTE,FTE__Salary_TOTL,FTE__Contract_TOTL,FTE__Volunteer_TOTL,FTE_Contacts_TOTL,FTE_Contacts_GRAND_TOTL,PCC_HEALTH_SERV_MEDICAL,PCC_HEALTH_SERV_DENTAL,PCC_HEALTH_SERV_VISION,PCC_HEALTH_SERV_MENTAL_HEALTH,PCC_HEALTH_SERV_SUBSTANCE_ABUSE,PCC_HEALTH_SERV_DOMESTIC_VIOLENCE,PCC_HEALTH_SERV_BASIC_LAB,PCC_HEALTH_SERV_RADIOLOGICAL_SERVICES,PCC_HEALTH_SERV_URGENT_CARE,PCC_HEALTH_SERV_PHARMACY,PCC_HEALTH_SERV_WOMENS_HEALTH
FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE,FINAL 2017 UTILIZATION DATABASE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1,1.1.1,1.3.1,1.3.2,1.4.1,1.5.1,1.6.1,1.7.1,1.9.1,1.10.1,1.11.1,1.12.1,1.13.1,1.13.2,1.14.1,1.15.1,1.16.1,1.17.1,1.21.1,1.21.2,1.21.3,1.21.4,1.21.10,1.21.11,1.21.12,1.21.13,1.21.14,1.21.15,1.21.16,1.21.17,1.21.18,1.21.19,1.21.20,1.21.21,1.21.22,1.21.23,2.1.1,2.2.1,2.3.1,2.10.1,2.11.1,2.12.1,2.13.1,2.14.1,2.15.1,2.16.1,2.17.1,2.18.1,2.19.1,2.20.1,2.21.1,2.22.1,2.23.1,2.30.1,2.30.2,2.31.1,2.31.2,2.32.1,2.32.2,2.33.1,2.33.2,2.34.1,2.34.2,2.35.1,2.35.2,2.36.1,2.36.2,2.37.1,2.37.2,2.38.1,2.38.2,2.39.1,2.39.2,2.40.1,2.40.2,2.41.1,2.41.2,2.42.1,2.42.2,2.43.1,2.43.2,2.44.1,2.44.2,2.45.1,2.45.2,2.55.1,2.56.1,2.60.1,2.60.2,2.60.3,2.60.4,2.60.5,2.61.1,2.61.2,2.61.3,2.61.4,2.61.5,2.62.1,2.62.2,2.62.3,2.62.4,2.62.5,2.63.1,2.63.2,2.63.3,2.63.4,2.63.5,2.64.1,2.64.2,2.64.3,2.64.4,2.64.5,2.65.1,2.65.2,2.65.3,2.65.4,2.65.5,2.66.1,2.66.2,2.66.3,2.66.4,2.66.5,2.67.1,2.67.2,2.67.3,2.67.4,2.67.5,2.68.1,2.68.2,2.68.3,2.68.4,2.68.5,2.69.1,2.69.2,2.69.3,2.69.4,2.69.5,2.70.1,2.70.2,2.70.3,2.70.4,2.70.5,2.74.1,2.74.2,2.74.3,2.74.4,2.74.5,2.75.1,2.75.2,2.75.3,2.75.4,2.75.5,2.80.1,2.80.2,2.80.3,2.80.4,2.80.5,2.81.1,2.81.2,2.81.3,2.81.4,2.81.5,2.82.1,2.82.2,2.82.3,2.82.4,2.82.5,2.83.1,2.83.2,2.83.3,2.83.4,2.83.5,2.84.1,2.84.2,2.84.3,2.84.4,2.84.5,2.85.1,2.85.2,2.85.3,2.85.4,2.85.5,2.86.1,2.86.2,2.86.3,2.86.4,2.86.5,2.87.1,2.87.2,2.87.3,2.87.4,2.87.5,2.88.1,2.88.2,2.88.3,2.88.4,2.88.5,2.89.1,2.89.2,2.89.3,2.89.4,2.89.5,2.90.1,2.90.2,2.90.3,2.90.4,2.90.5,2.94.1,2.94.2,2.94.3,2.94.4,2.94.5,2.95.1,2.95.2,2.95.3,2.95.4,2.95.5,2.100.1,2.101.1,2.102.1,2.103.1,2.104.1,2.105.1,2.106.1,2.107.1,2.108.1,2.109.1,2.110.1
306196732,NORTHEAST COMMUNITY CLINIC-MOBIL MEDICAL VAN,5820 N FIGUEROA ST,,LOS ANGELES,90042,,,No,1/1/17,12/31/17,,,,,,,Tina Ly,Closed,1/26/17,,,,,,51,24,34,6037183701,78.2i,Metro,11 - Los Angeles,Los Angeles,550000103,-118.19128,34.11031,Community Clinic,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306374422,JULIAN MEDICAL CLINIC,2721 WASHINGTON ST,,JULIAN,92036,760-765-1223,Sarah B. Baldwin,Yes,1/1/17,12/31/17,Borrego Community Health Foundation,587 Palm Canyon Dr. Suite 208,,Borrego Springs,CA,92004-2369,Tami Bereki,Open,2/25/09,,,,,,71,38,50,6073020904,152,,14 - San Diego/Imperial,San Diego,550000892,-116.602659,33.078027,Community Clinic,FQHC,YES,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,7,Spanish,0.25,,,0.25,356,,,,0,,0.1,,,0.1,269,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0.35,0,0,0.35,625,,,,0,,,,,0,,,,,0,,,,,0,,1.02,,,1.02,,,,,0,,1.93,,,1.93,,,,,0,,,,,0,,,,,0,,2.08,,,2.08,,0.91,,,0.91,,5.94,0,0,5.94,0,Yes,,,,,,,,,,
306444020,BEACH FLATS HEALTH CENTER,302 RIVERSIDE AVE,,SANTA CRUZ,95060,831-728-8250-1060,Dori Rose Inda,Yes,1/1/17,3/31/17,Salud Para La Gente,195 Aviation Way Suite 200,,Watsonville,CA,95076,Mark Cieslikowski,Open,2/25/05,,,,,,29,17,20,6087101000,185.1,,08 - Mid-Coast,Santa Cruz,550000001,-122.018063,36.9663649,Community Clinic,FQHC,No,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,53,Spanish,0.2,,,0.2,136,,,,0,0,1,,,1,269,,,,0,0,,,,0,0,0.04,,,0.04,128,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,1.24,0,0,1.24,533,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,2,,,,0,0,0.49,,,0.49,0,,,,0,0,,,,0,0,,,,0,,,,,0,,,,,0,,0.49,0,0,0.49,2,Yes,Yes,,,,,Yes,,,,
306196611,"ASIAN PACIFIC HEALTH CARE VENTURE, INC. - BELMONT HEALTH SERVICES",1575 W 2ND ST,,LOS ANGELES,90026,323-644-3880,Kazue Shibata,No,1/1/17,12/31/17,,,,,,,NARDO BELTRAN,Open,1/25/10,,,,,,51,24,34,6037208302,78.2ffff,Metro,11 - Los Angeles,Los Angeles,550001203,-118.26371,34.0613,Community Clinic,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306198020,APLA HEALTH AND WELLNESS MOBILE DENTAL SERVICES,1127 WILSHIRE BLVD,STE 1504,LOS ANGELES,90017,213-201-1388,"Steven Vitero, DDS",No,1/1/17,1/1/17,APLA Health  Wellness,611 S. Kingsley Dr.,,Los Angeles,CA,90005,Robyn Goldman,Open,3/3/15,,,,,,53,24,34,6037209200,78.2ffff,Metro,11 - Los Angeles,Los Angeles,550003000,-118.26416,34.05273,Community Clinic,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306124037,J. ROPHE MEDICAL,2458 BUHNE ST,,EUREKA,95501,707-444-0423,Cynthia G. Broese Van Groenou,No,1/1/17,12/31/17,Pregnancy Care Center of the North Coast,2390 Myrtle Avenue,,Eureka,CA,95501,Cindy Broese Van Groenou,Closed,6/20/17,,,,,,2,2,2,6023000600,39,,01 - Northern California,Humboldt,550001650,-124.14038,40.78592,Free Clinic,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306196829,NORTHEAST VALLEY HEALTH CORPORATION - EARLY INTERVENTION,6551 VAN NUYS BLVD,STE 201,VAN NUYS,91401,818-988-6335-50701,NICK ROCCA,No,1/1/17,12/31/17,NORTHEAST VALLEY HEALTH CORPORATION,1172 N. MACLAY AVENUE,,SAN FERNANDO,CA,91340,Paul Smith,Closed,5/8/17,,,,,,46,18,29,6037127806,78.2cc,San Fernando Valley,11 - Los Angeles,Los Angeles,960000947,-118.44876,34.18983,Community Clinic,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
